SUM of funding_total_usd,,status,,,,
country_code,region,acquired,closed,ipo,operating,Grand Total
,,3255246171,10204028642,6213835295,37438718622,57111828730
 Total,,3255246171,10204028642,6213835295,37438718622,57111828730
ALB,Tirana,,,,276744.1287,276744.1287
ALB Total,,,,,276744.1287,276744.1287
ARE,Abu Dhabi,,,,826250000,826250000
ARE,Dubai,32710000,635000,,710624065,743969065
ARE Total,,32710000,635000,,1536874065,1570219065
ARG,,,20000,,40000,60000
ARG,ARG - Other,,,,33356766,33356766
ARG,Buenos Aires,1250000,11538062,28000000,259993615,300781677
ARG,"Cordoba, ARG",143083,,,2353963,2497046
ARG,"Mendoza, ARG",25620000,,,40000,25660000
ARG Total,,27013083,11558062,28000000,295784344,362355489
ARM,ARM - Other,,,,200000,200000
ARM,Yerevan,,,,26617500,26617500
ARM Total,,,,,26817500,26817500
AUS,,,29000,20000000,37074398.97,57103398.97
AUS,Adelaide,,,,55818122.26,55818122.26
AUS,AUS - Other,0,10091900,8530000,138575685.3,157197585.3
AUS,Balmain,,98000,,4600000,4698000
AUS,Brisbane,1400000,1980218.933,,165119515.4,168499734.4
AUS,Burleigh Heads,,,,382106890,382106890
AUS,Camberwell South,,,,25500000,25500000
AUS,Canberra,,,,20918307,20918307
AUS,Eight Mile Plains,,,,1813760,1813760
AUS,Fyshwick,,1850000,,,1850000
AUS,Hobart Town,,25000000,,1300000,26300000
AUS,Melbourne,14200000,42478218,64964701.18,254184430.1,375827349.3
AUS,Mulgrave,,,,80000000,80000000
AUS,Perth,,198232082,16694243,115598972.9,330525297.9
AUS,South Grafton,,,,1800000,1800000
AUS,Sydney,43516004.79,88130139,800303686.8,1189604375,2121554206
AUS,Tasmania,,,,12700000,12700000
AUS,Victoria,,20000,,1030000,1050000
AUS,Waterloo,,,,2714506,2714506
AUS,West End,11240000,,,19615,11259615
AUS Total,,70356004.79,367909557.9,910492631,2490478578,3839236772
AUT,,,,,4139999,4139999
AUT,AUT - Other,214185,10801156,149938635,59662880.63,220616856.6
AUT,Brunn Am Gebirge,,,,1449360,1449360
AUT,Dornbirn,,,,1521189,1521189
AUT,Graz,4890000,353586.5347,,25400621.78,30644208.32
AUT,Innsbruck,,,,19034616,19034616
AUT,Linz,,259989,,1520440,1780429
AUT,Salzburg,,,,386881,386881
AUT,Vienna,72171304,56107339.01,120000000,313977280.8,562255923.8
AUT Total,,77275489,67522070.54,269938635,427093268.2,841829462.7
AZE,AZE - Other,,,,164000,164000
AZE,Baku,,,,210000,210000
AZE Total,,,,,374000,374000
BAH,Bahamas,,,,1200000,1200000
BAH,BHS - Other,,,,8900000,8900000
BAH Total,,,,,10100000,10100000
BEL,,,66230,,11129150,11195380
BEL,Antwerp,7484035,733615,,32751215.97,40968865.97
BEL,BEL - Other,221434158.9,40002320.82,186036236,174216201.4,621688917
BEL,Brussels,261146364.7,15099978,152316269.8,565782773.2,994345385.7
BEL Total,,490064558.5,55902143.82,338352505.8,783879340.5,1668198549
BGD,Dhaka,,,,8441208,8441208
BGD Total,,,,,8441208,8441208
BGR,,,,,1455732.914,1455732.914
BGR,BGR - Other,150000,,,193939.3704,343939.3704
BGR,Sofia,65853,1045224,,24845952.02,25957029.02
BGR Total,,215853,1045224,,26495624.3,27756701.3
BHR,Bahrain,,0,,776269,776269
BHR Total,,,0,,776269,776269
BLM,BLM - Other,,350000,,,350000
BLM Total,,,350000,,,350000
BLR,Minsk,,90000,,90000,180000
BLR Total,,,90000,,90000,180000
BLZ,Belize,,,,4299,4299
BLZ,BLZ - Other,,,,196615,196615
BLZ Total,,,,,200914,200914
BMU,Bermuda,0,,220800000,757016000,977816000
BMU Total,,0,,220800000,757016000,977816000
BRA,,,169000,,39624390.24,39793390.24
BRA,BRA - Other,375000,57233327,,394981541,452589868
BRA,Brasilia,200000,,,1682562,1882562
BRA,Campinas,,0,,407956,407956
BRA,Curitiba,0,10000,,4107615.428,4117615.428
BRA,Fortaleza,,,,9292314.052,9292314.052
BRA,ItÃ¡,606672,,,76527405,77134077
BRA,Manaus,,,,50000,50000
BRA,Porto Alegre,,17376608,,43080143.8,60456751.8
BRA,Recife,,60000,,1378192,1438192
BRA,Rio de Janeiro,0,2825000,23000000,953133100.2,978958100.2
BRA,Sao Paulo,310601500,48069143.82,,1963778824,2322449468
BRA Total,,311783172,125743078.8,23000000,3488044043,3948570294
BRB,BRB - Other,,,,1500000,1500000
BRB Total,,,,,1500000,1500000
BRN,,,,,0,0
BRN Total,,,,,0,0
BWA,,,,,2270352,2270352
BWA,BWA - Other,,,,1000,1000
BWA Total,,,,,2271352,2271352
CAN,,0,,37400000,19875063,57275063
CAN,AB - Other,,,,22351000,22351000
CAN,Abbotsford,,,,9911648,9911648
CAN,BC - Other,,,,53460418.66,53460418.66
CAN,Boisbriand,,,,0,0
CAN,Brossard,36893203,,,12100000,48993203
CAN,Burnaby,118314285,44125227,34080307.9,390228979.3,586748799.2
CAN,Calgary,6261912,260486320.9,409002533,1034807673,1710558439
CAN,CAN - Other,,,,0,0
CAN,Charlottetown,,4000000,,4040690,8040690
CAN,Dartmouth,,,,45010321.16,45010321.16
CAN,Delta,,1125080,,667500,1792580
CAN,Dorval,,13410000,,151000000,164410000
CAN,Edmonton,3400000,94648791,,63287285,161336076
CAN,Etobicoke,0,,,0,0
CAN,Fort Saskatchewan,,,,200000,200000
CAN,Fredericton,12811619,,,4388754,17200373
CAN,Gatineau,477000,,,10772477.95,11249477.95
CAN,Halifax,1700000,532076,19183607,118038084,139453767
CAN,Kanata,77194493.79,,,11064997.95,88259491.74
CAN,Kelowna,750000,,,9918200,10668200
CAN,Lachine,,,,1000000,1000000
CAN,Levis,,,,0,0
CAN,London,,153553,,3948978,4102531
CAN,Maple Ridge,,,,0,0
CAN,MB - Other,,,,5000,5000
CAN,Moncton,,3396991,5000000,20415656,28812647
CAN,Montreal,399115637.8,73054845.38,411100000,1269624530,2152895013
CAN,NB - Other,,,,160260750,160260750
CAN,New Westminster,5639000,,,,5639000
CAN,NL - Other,,,,0,0
CAN,NS - Other,,,,70065742,70065742
CAN,ON - Other,486887000,,668421,21210000,508765421
CAN,Ottawa,247890605,146259849.6,189274740,588130511.3,1171555706
CAN,QC - Other,,11926065,32600000,2199279.132,46725344.13
CAN,Quebec City,158261598.7,130221122.1,13962782,337069392.3,639514895.1
CAN,Red Deer,,,,1140000,1140000
CAN,Saint-laurent,,,,12150000,12150000
CAN,Saskatoon,,3000000,,21088110.51,24088110.51
CAN,Sherwood Park,,,,2276900,2276900
CAN,SK - Other,,,,81000000,81000000
CAN,Spruce Grove,,240000000,,,240000000
CAN,St. John's,,65543179,17000000,15321378,97864557
CAN,Surrey,,,,20395000,20395000
CAN,Thunder Bay,,,,6038816,6038816
CAN,Toronto,582981193.4,533457499,1679062961,4466380541,7261882195
CAN,Vancouver,266767086,280840637,483130166.4,1492524803,2523262692
CAN,Westmount,,,180000000,3381360,183381360
CAN,Windsor,,,,35000,35000
CAN,Winnipeg,24000000,6440458.054,,14458420.78,44898878.84
CAN Total,,2429344634,1912621694,3511465519,10571243260,18424675107
CHE,,90505207,,,27193359,117698566
CHE,Baar,,,,2254193,2254193
CHE,Basel,112000000,68903320.43,60680000,123495989.2,365079309.6
CHE,Bern,,,,911000,911000
CHE,CHE - Other,150000000,100812990,44566724,340076382.9,635456096.9
CHE,Chiasso,,,,11691273,11691273
CHE,Dubendorf,95470000,,,39498956.37,134968956.4
CHE,Ecublens,,37500000,,12779871,50279871
CHE,Fribourg,,,,4738685,4738685
CHE,Geneva,96361798,15885800,302842048,553641731,968731377
CHE,Glattbrugg,,,,385000,385000
CHE,Herisau,,,,250000,250000
CHE,Lausanne,19000000,17900000,321184551,367682253.9,725766804.9
CHE,Lugano,,,,7775740,7775740
CHE,Luzern,,,,2600477,2600477
CHE,Nyon,,,,26100000,26100000
CHE,Reinach,,,,53500000,53500000
CHE,Sarnen,,,,0,0
CHE,Schlieren,31650333.33,,,17974280,49624613.33
CHE,Steinhausen,,0,,300000,300000
CHE,Vevey,2970000,,,,2970000
CHE,Wollerau,,,,0,0
CHE,Yverdon-les-bains,,,,10150780,10150780
CHE,Zurich,273520000,1260000,504642454,388621158.8,1168043613
CHE Total,,871477338.3,242262110.4,1233915777,1991621130,4339276356
CHL,,,,,165000,165000
CHL,CHL - Other,25000,,,120000,145000
CHL,Santiago,560000,6365393,,53985958,60911351
CHL Total,,585000,6365393,,54270958,61221351
CHN,,92020000,235000000,92800000,10805077444,11224897444
CHN,Beijing,487864003,75170000,3676721721,21337005973,25576761697
CHN,Chengdu,,,,214089031,214089031
CHN,CHN - Other,122000000,4605000,2155780000,4289830675,6572215675
CHN,Chongqing,,0,,10200956,10200956
CHN,Foshan,,,,40000000,40000000
CHN,Fuzhou Shi,43500000,,0,28000000,71500000
CHN,Guangdong,,64998150,80000000,3239344,148237494
CHN,Guangzhou,30000000,27200000,90430000,884066693,1031696693
CHN,Hainan,,,,8000000,8000000
CHN,Hangzhou,950000000,9400000,4816000000,1169062713,6944462713
CHN,Harbin,,,4999994,0,4999994
CHN,Hefei,,,,6157940,6157940
CHN,Jinan,,,,12200000,12200000
CHN,Kunshan,,,,14846285,14846285
CHN,Nanjing,,60060000,5325000000,155794219,5540854219
CHN,Shandong,,,,18100000,18100000
CHN,Shanghai,2508344271,464145000,1600150000,9506052732,14078692003
CHN,Shenyang,,10200000,,57000000,67200000
CHN,Shenzhen,38690547,31100000,604121602,2093521705,2767433854
CHN,Taiwan,,,,106974999,106974999
CHN,Tianjin,,6407000,,79450000,85857000
CHN,Wuhan,,22392121,,47892287,70284408
CHN,Wuxi,,,,70000000,70000000
CHN,Xiamen,,16674,,102944709,102961383
CHN,Zhengzhou,,,,20422289,20422289
CHN,Zhuhai,,,,894519719,894519719
CHN Total,,4272418821,1010693945,18446003317,51974449713,75703565796
CIV,CIV - Other,,,,120000,120000
CIV Total,,,,,120000,120000
CMR,,,,,355000,355000
CMR,CMR - Other,,0,,4561,4561
CMR Total,,,0,,359561,359561
COL,Bogota,0,150199,,108379614,108529813
COL,COL - Other,,,,824511,824511
COL,Medellin,,,,1766166,1766166
COL Total,,0,150199,,110970291,111120490
CRI,Costa Rica,,350000,,227020,577020
CRI,CRI - Other,,,,905000,905000
CRI Total,,,350000,,1132020,1482020
CYM,,,,,22250000,22250000
CYM,Cayman Islands,,,,134182857,134182857
CYM Total,,,,,156432857,156432857
CYP,,,,,10000,10000
CYP,CYP - Other,,,,2513007,2513007
CYP,Cyprus,,,,83883417,83883417
CYP Total,,,,,86406424,86406424
CZE,,,120000,,3040100,3160100
CZE,CZE - Other,,253000,,489706.5467,742706.5467
CZE,Prague,1400000,9743966,20000000,258390295,289534261
CZE Total,,1400000,10116966,20000000,261920101.5,293437067.5
DEU,,57141925,,,75210514.48,132352439.5
DEU,Aachen,,,,78828017,78828017
DEU,Augsburg,,,,220000,220000
DEU,Berlin,104612223.9,6873090,1119500000,1494155860,2725141174
DEU,Bielefeld,,197597,,5647230,5844827
DEU,Bochum,,,,798000,798000
DEU,Bonn,0,,,14502122.05,14502122.05
DEU,Braunschweig,,,,3164760,3164760
DEU,Bremen,816000,,,0,816000
DEU,Chemnitz,,0,,620000,620000
DEU,Cologne,52747800,5946633.222,0,171274135.5,229968568.7
DEU,DEU - Other,108531257,65990984.89,126000000,1111105755,1411627996
DEU,Dortmund,,10822832,,29552080,40374912
DEU,Dresden,32466630,,,280802422.3,313269052.3
DEU,Dusseldrof,0,2638000,,214645009.6,217283009.6
DEU,Erlangen,,888840,,1832130,2720970
DEU,Essen,,,,20537410,20537410
DEU,Frankfurt,67667513,6628775,198582869,626596102.8,899475259.8
DEU,Freiburg,,381000,,26230741.94,26611741.94
DEU,Garbsen,0,,,,0
DEU,Garching Bei Munchen,,,,4650240,4650240
DEU,Gilching,,,,200000,200000
DEU,Halle An Der Saale,,,73422000,0,73422000
DEU,Halle-neustadt,,,,33127200,33127200
DEU,Hamburg,36101124,15691750,6844560,1044806195,1103443629
DEU,Hanover,,710760,,45176102,45886862
DEU,Heilbronn,,,,7696120,7696120
DEU,Herzogenaurach,,0,,,0
DEU,Homburg,,,106185472,,106185472
DEU,Ismaning,,,,8400000,8400000
DEU,Jena,799000,14121023.27,,18540000,33460023.27
DEU,Kassel,,,,5854475,5854475
DEU,Kolbermoor,,,,0,0
DEU,Landshut,,,,2580000,2580000
DEU,Leipzig,,,,18962674,18962674
DEU,Leonberg,,,,62000,62000
DEU,Magdeburg,,,,19682075,19682075
DEU,Mannheim,12921240,,,0,12921240
DEU,Martinsried,8067308,,,25527601.46,33594909.46
DEU,Monheim,,,,7018900,7018900
DEU,Muenchen,,,0,,0
DEU,Munich,274420840.5,56040202,128245758,642348656.5,1101055457
DEU,Munster,,81672000,,,81672000
DEU,Nuremberg,89500000,37800000,,2296575,129596575
DEU,Oberhaching,,,,40693678.93,40693678.93
DEU,Osnabruck,,,,643300,643300
DEU,Passau,,,,2460000,2460000
DEU,Regensburg,3239000,,,134677004,137916004
DEU,Rostock,,,,223273320,223273320
DEU,Saarbrucken,,,,0,0
DEU,Starnberg,,238660,,16627898.22,16866558.22
DEU,Stuttgart,22802868.42,0,10000000,559125760,591928628.4
DEU,Ulm,,,,0,0
DEU,Unterhaching,50326957,,,0,50326957
DEU,Wetzlar,,,,27181,27181
DEU Total,,922161686.8,306642147.4,1768780659,7020179246,10017763739
DMA,DMA - Other,,,,100000,100000
DMA Total,,,,,100000,100000
DNK,,12543000,25000,,45394042,57962042
DNK,Aalborg,,,,1907454,1907454
DNK,Aarhus,,0,,24124133.7,24124133.7
DNK,AllerÃ¸d,,33458281,,0,33458281
DNK,Ballerup,,14330000,,6984826,21314826
DNK,Copenhagen,45609503,10388598.55,18451025,768897300.6,843346427.1
DNK,DNK - Other,27739937.01,4330000,27600000,56180318.98,115850256
DNK,Farum,,,,0,0
DNK,Frederiksberg,,,,6594905,6594905
DNK,HÃ¸rsholm,42000735.31,6340000,,2799762.119,51140497.43
DNK,Hellerup,,,,0,0
DNK,Herlev,,,,4107638,4107638
DNK,Kolding,,,,300000,300000
DNK,Lyngby,,,,505444228.8,505444228.8
DNK,Odense,2410000,,,3361611.721,5771611.721
DNK,Taastrup,,,,27000000,27000000
DNK,Valby,,,,2856920,2856920
DNK,Vejle,,,,12147825,12147825
DNK Total,,130303175.3,68871879.55,46051025,1468100966,1713327046
DOM,,,,,0,0
DOM,DOM - Other,,,,288598,288598
DOM Total,,,,,288598,288598
DZA,DZA - Other,,,,378812,378812
DZA Total,,,,,378812,378812
ECU,ECU - Other,,,,1341386,1341386
ECU,Guayaquil,,,,75000,75000
ECU,Quito,,,,255213,255213
ECU Total,,,,,1671599,1671599
EGY,,,,,74031387.02,74031387.02
EGY,Alexandria,,,,2020000,2020000
EGY,Cairo,,,,323395000,323395000
EGY,EGY - Other,,,,102445000,102445000
EGY Total,,,,,501891387,501891387
ESP,,,2118302,,6839509.213,8957811.213
ESP,A Coruna,,,,5294191,5294191
ESP,Albacete,,,,533920,533920
ESP,Alcorcon,,,,2903873,2903873
ESP,Alcoy,,,,270100,270100
ESP,Alicante,,,,2586900,2586900
ESP,Almeria,,,,108000,108000
ESP,Baracaldo,,,,0,0
ESP,Barcelona,168998307.5,27392836,,2595486111,2791877255
ESP,Bilbao,,835125,,49795214.46,50630339.46
ESP,Bormujos,,,,1215385,1215385
ESP,CÃ¡ceres,,885000,,,885000
ESP,Cadiz,,446000,,67983,513983
ESP,Castelldefels,,,,250611,250611
ESP,Cordoba,,,,370501.7425,370501.7425
ESP,Elche,,1320474.843,,0,1320474.843
ESP,ESP - Other,0,0,,80393260.44,80393260.44
ESP,Girona,153439,6000000,,495844,6649283
ESP,Granada,,,,11884999,11884999
ESP,Igualada,,,,650100,650100
ESP,Las Palmas De Gran Canaria,,,,761234.4732,761234.4732
ESP,Leganes,,6192900,,,6192900
ESP,Leon,,,,0,0
ESP,Logrono,,37484,,855213,892697
ESP,Madrid,62784710.66,188496366.1,846000008,508318521.3,1605599606
ESP,Malaga,,1550000,,9443380,10993380
ESP,Marbella,,148600,,,148600
ESP,Murcia,,,,4450000,4450000
ESP,NoÃ¡in,,,,3742337.916,3742337.916
ESP,Oviedo,,,,647567,647567
ESP,Palma De Mallorca,625000,,,51161964.46,51786964.46
ESP,Palma Del RÃ­o,,,,750000,750000
ESP,Paterna De Rivera,,,,0,0
ESP,Pozuelo De Alarcon,,2977800,,9409656,12387456
ESP,San Cristobal De La Laguna,,,,321650,321650
ESP,San SebastiÃ¡n De Los Reyes,,163524,,1948090,2111614
ESP,San Sebastian,,,,1878750,1878750
ESP,Sant Cugat Del VallÃ¨s,,,,8324455,8324455
ESP,Santa Cruz De Tenerife,,,,110000,110000
ESP,Santander,,1700000,,,1700000
ESP,Seville,6447280,,,6330523,12777803
ESP,Tarragona,,,,1427030,1427030
ESP,Terrassa,,,,1890000,1890000
ESP,Valencia,,875007,,16398582.25,17273589.25
ESP,Valladolid,,,,14043100,14043100
ESP,Zamudio,,,,119000,119000
ESP,Zaragoza,0,,,1789717,1789717
ESP Total,,239008737.2,241139419,846000008,3403267274,4729415438
EST,,,,,9643703.228,9643703.228
EST,EST - Other,,28059.0962,,34008859,34036918.1
EST,Tallinn,,9469456,,75410679.2,84880135.2
EST Total,,,9497515.096,,119063241.4,128560756.5
FIN,,,,,11909141,11909141
FIN,FIN - Other,,,,35997874,35997874
FIN,Helsinki,170741374.2,25036842.96,32585933.89,822547824.7,1050911976
FIN,JyvÃ¤skylÃ¤,,260000,,1995860,2255860
FIN,Kuopio,,,,819010,819010
FIN,Lappeenranta,,,,6669920,6669920
FIN,Oulu,3250300,,,39112802,42363102
FIN,Tampere,,0,,38223563.91,38223563.91
FIN,Turku,,9726500,,44519577.76,54246077.76
FIN,Vantaa,1651520,,,37160173.74,38811693.74
FIN Total,,175643194.2,35023342.96,32585933.89,1038955747,1282208218
FRA,,97738009.12,24454000,,287602130,409794139.1
FRA,Ã‰vry,,,,39743215,39743215
FRA,Aix-en-provence,,,234582458,14171894,248754352
FRA,Annecy,,,,2907529.149,2907529.149
FRA,Bidart,,,,3289050,3289050
FRA,Bordeaux,13708764,16781,,32185648,45911193
FRA,Boulogne,,,,575971235.3,575971235.3
FRA,Champagne-au-mont-d'or,,,,4610000,4610000
FRA,Clapiers,,,,11087820,11087820
FRA,Clermont-ferrand,,,,3940000,3940000
FRA,FRA - Other,53693060.8,26978852,384795087,655042553.8,1120509554
FRA,Gardanne,,,,0,0
FRA,Grenoble,29468580.24,2204719.201,,131353392,163026691.4
FRA,Illkirch-graffenstaden,,,,3237000,3237000
FRA,Ivry-sur-seine,1313111,,,10330000,11643111
FRA,La Rochelle,,,,2165094,2165094
FRA,LabÃ¨ge,,12386030,,158781859.3,171167889.3
FRA,Lannion,,,49463731,3100000,52563731
FRA,Le Plessis-robinson,,,,17087622,17087622
FRA,Limoges,,,,1308720,1308720
FRA,Lyon,,12380835,85919109,229032281,327332225
FRA,Malakoff,,,,5680000,5680000
FRA,Marseille,,3845800,134407592,69523894.45,207777286.4
FRA,Montpellier,6770000,455204,,57943333,65168537
FRA,Montreuil,,,,10533549,10533549
FRA,Nantes,2600000,854551.2995,,49124333,52578884.3
FRA,Neuilly-sur-seine,1770000,,,17727133,19497133
FRA,Nice,,20653146.72,,399543615,420196761.7
FRA,Orleans,,,,0,0
FRA,Orsay,,40565866.33,,7021914,47587780.33
FRA,Paris,364377264,509945694,229367793,3608447820,4712138571
FRA,Pessac,,,,1342546,1342546
FRA,Picardie,,,,75000,75000
FRA,Puteaux,10790000,,,18540000,29330000
FRA,Rennes,,,,148985484.3,148985484.3
FRA,Roubaix,,,,26061211.32,26061211.32
FRA,SÃ¨te,,,,1359200,1359200
FRA,Saint-denis-sur-loire,,,,11200000,11200000
FRA,Sophia Antipolis,,,,0,0
FRA,Strasbourg,,32000000,,11950053,43950053
FRA,Toulouse,29000000,,,9928100,38928100
FRA,Villeurbanne,1300000,,,30488,1330488
FRA Total,,612528789.2,686741479.6,1118535770,6641964717,9059770756
GBR,,724895601.3,82473263.93,179200000,1763403231,2749972096
GBR,Aberdeen,,74065397,,121158977,195224374
GBR,Alcester,,,,60358285,60358285
GBR,Aldershot,,0,,144439,144439
GBR,Alfreton,,,,31885858,31885858
GBR,Alton Barnes,,,,909150,909150
GBR,Altrincham,,,,47188241,47188241
GBR,Amersham,,301104,,0,301104
GBR,Ayr,,,,454575,454575
GBR,Banbury,,,,9798129,9798129
GBR,Bath,121810000,13724414,,38427792,173962206
GBR,Beaconsfield,,40264,,26110000,26150264
GBR,Belfast,41250000,5072706.101,,24184819,70507525.1
GBR,Bellshill,,28725004,,9076783,37801787
GBR,Binton,,253194,,1000000,1253194
GBR,Birkenhead,,,,460000,460000
GBR,Birmingham,0,1273055,,149583071.6,150856126.6
GBR,Bolton Upon Dearne,,,,9459248,9459248
GBR,Borehamwood,,,,1136438,1136438
GBR,Boston Spa,,,,1729000,1729000
GBR,Bradford,,,,24906222,24906222
GBR,Brentford,,,,33563906,33563906
GBR,Bridgend,,,,11302157.34,11302157.34
